AS, node_degree, IP_prefix_count, class
266117, 0, 1, Enterprise
266119, 0, 1, Enterprise
266118, 0, 1, Enterprise
266121, 0, 5, Enterprise
266175, 0, 5, Enterprise
266152, 0, 6, Enterprise
264605, 0, 4, Enterprise
265718, 0, 3, Enterprise
265505, 0, 3, Enterprise
266133, 0, 5, Enterprise
266126, 0, 1, Enterprise
266180, 0, 4, Enterprise
266182, 0, 2, Enterprise
266186, 0, 6, Enterprise
266127, 0, 3, Enterprise
266129, 0, 1, Enterprise
265701, 0, 3, Enterprise
266130, 0, 4, Enterprise
266157, 0, 2, Enterprise
266134, 0, 1, Enterprise
265697, 0, 5, Enterprise
266136, 0, 4, Enterprise
265531, 0, 1, Enterprise
266227, 0, 5, Enterprise
266137, 0, 3, Enterprise
266147, 0, 5, Enterprise
266231, 0, 5, Enterprise
266196, 0, 5, Enterprise
266140, 0, 4, Enterprise
266138, 0, 3, Enterprise
266170, 0, 1, Enterprise
266232, 0, 2, Enterprise
266164, 0, 2, Enterprise
266169, 0, 6, Enterprise
266545, 0, 1, Enterprise
266246, 0, 7, Enterprise
266250, 0, 3, Enterprise
265709, 0, 4, Enterprise
266247, 0, 2, Enterprise
266248, 0, 3, Enterprise
266233, 0, 1, Enterprise
266254, 0, 5, Enterprise
266234, 0, 3, Enterprise
266249, 0, 3, Enterprise
266255, 0, 4, Enterprise
266590, 0, 5, Enterprise
266579, 0, 5, Enterprise
266606, 0, 3, Enterprise
266560, 0, 3, Enterprise
266596, 0, 5, Enterprise
266568, 0, 5, Enterprise
266597, 0, 1, Enterprise
266565, 0, 5, Enterprise
265534, 0, 4, Enterprise
266580, 0, 4, Enterprise
266581, 0, 1, Enterprise
266567, 0, 1, Enterprise
266561, 0, 2, Enterprise
266582, 0, 1, Enterprise
266570, 0, 7, Enterprise
266578, 0, 3, Enterprise
266575, 0, 1, Enterprise
265722, 0, 1, Enterprise
265723, 0, 2, Enterprise
28098, 0, 64, Enterprise
266576, 0, 5, Enterprise
266571, 0, 1, Enterprise
266573, 0, 1, Enterprise
266584, 0, 2, Enterprise
266638, 0, 7, Enterprise
265692, 0, 5, Enterprise
266585, 0, 7, Enterprise
266605, 0, 5, Enterprise
266586, 0, 3, Enterprise
266593, 0, 7, Enterprise
266587, 0, 3, Enterprise
266592, 0, 5, Enterprise
266594, 0, 7, Enterprise
266591, 0, 1, Enterprise
266626, 0, 7, Enterprise
266599, 0, 5, Enterprise
266601, 0, 1, Enterprise
266595, 0, 5, Enterprise
266607, 0, 7, Enterprise
266608, 0, 3, Enterprise
266614, 0, 4, Enterprise
266609, 0, 1, Enterprise
265729, 0, 3, Enterprise
266619, 0, 7, Enterprise
266598, 0, 1, Enterprise
266615, 0, 5, Enterprise
52512, 0, 1, Enterprise
265736, 0, 1, Enterprise
265739, 0, 4, Enterprise
63411, 0, 1, Enterprise
64200, 0, 41, Enterprise
30279, 0, 7, Enterprise
395209, 0, 1, Enterprise
22400, 0, 17, Enterprise
63262, 0, 4, Enterprise
395570, 0, 16, Enterprise
30414, 0, 5, Enterprise
33339, 0, 61, Enterprise
393841, 0, 1, Enterprise
394129, 0, 2, Enterprise
55248, 0, 6, Enterprise
54334, 0, 8, Enterprise
396202, 0, 3, Enterprise
201106, 0, 20, Enterprise
206981, 0, 1, Enterprise
58305, 0, 41, Enterprise
54198, 0, 64, Enterprise
32587, 0, 1, Enterprise
42210, 0, 1, Enterprise
10405, 0, 7, Enterprise
46652, 0, 105, Enterprise
46516, 0, 2, Enterprise
394351, 0, 2, Enterprise
203101, 0, 4, Enterprise
40027, 0, 5, Enterprise
395167, 0, 3, Enterprise
3800, 0, 21, Enterprise
132316, 0, 1, Enterprise
11029, 0, 6, Enterprise
205602, 0, 2, Enterprise
41139, 0, 1, Enterprise
31882, 0, 17, Enterprise
13150, 0, 42, Enterprise
31798, 0, 149, Enterprise
394146, 0, 16, Enterprise
4549, 0, 9, Enterprise
55660, 0, 16, Enterprise
45773, 0, 38, Enterprise
38841, 0, 255, Enterprise
24164, 0, 11, Enterprise
133456, 0, 3, Enterprise
23872, 0, 22, Enterprise
135360, 0, 1, Enterprise
38684, 0, 73, Enterprise
56163, 0, 3, Enterprise
17539, 0, 36, Enterprise
132563, 0, 7, Enterprise
45294, 0, 23, Enterprise
24004, 0, 34, Enterprise
203120, 0, 5, Enterprise
132931, 0, 15, Enterprise
134019, 0, 9, Enterprise
134308, 0, 5, Enterprise
135543, 0, 6, Enterprise
266528, 0, 5, Enterprise
266529, 0, 5, Enterprise
266530, 0, 1, Enterprise
265715, 0, 5, Enterprise
266257, 0, 5, Enterprise
266562, 0, 5, Enterprise
266543, 0, 7, Enterprise
266265, 0, 5, Enterprise
266258, 0, 3, Enterprise
266266, 0, 4, Enterprise
266536, 0, 4, Enterprise
266267, 0, 5, Enterprise
266537, 0, 5, Enterprise
266589, 0, 1, Enterprise
265730, 0, 1, Enterprise
265734, 0, 3, Enterprise
266544, 0, 7, Enterprise
266268, 0, 1, Enterprise
266525, 0, 5, Enterprise
266531, 0, 1, Enterprise
266539, 0, 3, Enterprise
264619, 0, 20, Enterprise
266532, 0, 6, Enterprise
266526, 0, 2, Enterprise
265721, 0, 6, Enterprise
265941, 0, 1, Enterprise
27687, 0, 3, Enterprise
267556, 0, 1, Enterprise
267557, 0, 4, Enterprise
267543, 0, 5, Enterprise
267573, 0, 1, Enterprise
267574, 0, 3, Enterprise
267544, 0, 5, Enterprise
267545, 0, 1, Enterprise
267546, 0, 3, Enterprise
267565, 0, 7, Enterprise
267551, 0, 1, Enterprise
267579, 0, 1, Enterprise
267552, 0, 5, Enterprise
267566, 0, 5, Enterprise
267553, 0, 1, Enterprise
267570, 0, 1, Enterprise
267593, 0, 7, Enterprise
267635, 0, 1, Enterprise
267567, 0, 7, Enterprise
267558, 0, 5, Enterprise
267559, 0, 1, Enterprise
267577, 0, 3, Enterprise
52599, 0, 10, Enterprise
267563, 0, 1, Enterprise
267572, 0, 1, Enterprise
267582, 0, 1, Enterprise
267568, 0, 5, Enterprise
265809, 0, 3, Enterprise
267578, 0, 1, Enterprise
267584, 0, 1, Enterprise
267576, 0, 6, Enterprise
265814, 0, 1, Enterprise
263693, 0, 12, Enterprise
267585, 0, 7, Enterprise
267586, 0, 5, Enterprise
267609, 0, 1, Enterprise
267587, 0, 5, Enterprise
267588, 0, 7, Enterprise
267590, 0, 3, Enterprise
267591, 0, 3, Enterprise
267598, 0, 7, Enterprise
267610, 0, 1, Enterprise
267611, 0, 4, Enterprise
267592, 0, 1, Enterprise
267595, 0, 3, Enterprise
265827, 0, 1, Enterprise
267596, 0, 5, Enterprise
267599, 0, 3, Enterprise
267634, 0, 1, Enterprise
265830, 0, 4, Enterprise
267600, 0, 4, Enterprise
267612, 0, 1, Enterprise
267597, 0, 1, Enterprise
267617, 0, 1, Enterprise
267602, 0, 1, Enterprise
267606, 0, 1, Enterprise
267603, 0, 1, Enterprise
267607, 0, 3, Enterprise
267604, 0, 3, Enterprise
267655, 0, 1, Enterprise
267605, 0, 5, Enterprise
267619, 0, 3, Enterprise
267608, 0, 7, Enterprise
267664, 0, 3, Enterprise
267658, 0, 4, Enterprise
266913, 0, 1, Enterprise
265825, 0, 1, Enterprise
267621, 0, 3, Enterprise
267622, 0, 3, Enterprise
267639, 0, 1, Enterprise
267629, 0, 1, Enterprise
267643, 0, 3, Enterprise
267632, 0, 1, Enterprise
267640, 0, 1, Enterprise
393959, 0, 3, Enterprise
17090, 0, 20, Enterprise
21287, 0, 22, Enterprise
394087, 0, 1, Enterprise
33568, 0, 4, Enterprise
11698, 0, 4, Enterprise
134000, 0, 30, Enterprise
132108, 0, 5, Enterprise
55806, 0, 5, Enterprise
133466, 0, 2, Enterprise
56018, 0, 1, Enterprise
134078, 0, 102, Enterprise
131235, 0, 17, Enterprise
41179, 0, 1, Enterprise
17597, 0, 44, Enterprise
63545, 0, 6, Enterprise
17849, 0, 81, Enterprise
134789, 0, 4, Enterprise
134088, 0, 2, Enterprise
133660, 0, 11, Enterprise
4638, 0, 102, Enterprise
9972, 0, 11, Enterprise
45530, 0, 6, Enterprise
134177, 0, 5, Enterprise
132203, 0, 199, Enterprise
134103, 0, 26, Enterprise
59170, 0, 6, Enterprise
55429, 0, 4, Enterprise
133485, 0, 10, Enterprise
134045, 0, 16, Enterprise
38365, 0, 73, Enterprise
10148, 0, 18, Enterprise
59341, 0, 5, Enterprise
134055, 0, 2, Enterprise
135600, 0, 6, Enterprise
59196, 0, 12, Enterprise
133695, 0, 20, Enterprise
135821, 0, 2, Enterprise
134116, 0, 8, Enterprise
134117, 0, 38, Enterprise
55507, 0, 11, Enterprise
132785, 0, 6, Enterprise
58144, 0, 4, Enterprise
45774, 0, 63, Enterprise
24549, 0, 57, Enterprise
132162, 0, 4, Enterprise
133760, 0, 3, Enterprise
134139, 0, 11, Enterprise
38571, 0, 26, Enterprise
134026, 0, 12, Enterprise
134287, 0, 8, Enterprise
9517, 0, 4, Enterprise
132960, 0, 3, Enterprise
134022, 0, 12, Enterprise
132894, 0, 3, Enterprise
133222, 0, 17, Enterprise
134159, 0, 8, Enterprise
134160, 0, 3, Enterprise
45061, 0, 10, Enterprise
58697, 0, 5, Enterprise
132899, 0, 2, Enterprise
58885, 0, 6, Enterprise
63530, 0, 21, Enterprise
134262, 0, 6, Enterprise
132012, 0, 1, Enterprise
134008, 0, 9, Enterprise
134369, 0, 3, Enterprise
133301, 0, 12, Enterprise
59257, 0, 25, Enterprise
24068, 0, 14, Enterprise
59332, 0, 8, Enterprise
134056, 0, 8, Enterprise
133003, 0, 5, Enterprise
134033, 0, 12, Enterprise
131428, 0, 10, Enterprise
131353, 0, 11, Enterprise
63981, 0, 14, Enterprise
134860, 0, 3, Enterprise
56151, 0, 2, Enterprise
17747, 0, 130, Enterprise
134202, 0, 9, Enterprise
45355, 0, 17, Enterprise
134028, 0, 6, Enterprise
134032, 0, 20, Enterprise
134201, 0, 10, Enterprise
7, 0, 14, Enterprise
133320, 0, 2, Enterprise
45557, 0, 17, Enterprise
131414, 0, 3, Enterprise
131367, 0, 8, Enterprise
133652, 0, 50, Enterprise
63992, 0, 5, Enterprise
134220, 0, 2, Enterprise
134899, 0, 16, Enterprise
134221, 0, 2, Enterprise
60392, 0, 20, Enterprise
131344, 0, 1, Enterprise
24189, 0, 5, Enterprise
59185, 0, 7, Enterprise
63995, 0, 10, Enterprise
132993, 0, 2, Enterprise
64525, 0, 5, Enterprise
27176, 0, 10, Enterprise
131435, 0, 4, Enterprise
132568, 0, 8, Enterprise
132990, 0, 5, Enterprise
58890, 0, 6, Enterprise
134040, 0, 2, Enterprise
133041, 0, 8, Enterprise
18328, 0, 16, Enterprise
134236, 0, 10, Enterprise
46160, 0, 16, Enterprise
132744, 0, 8, Enterprise
132934, 0, 4, Enterprise
55293, 0, 47, Enterprise
24109, 0, 16, Enterprise
134157, 0, 10, Enterprise
134352, 0, 2, Enterprise
134366, 0, 10, Enterprise
63582, 0, 5, Enterprise
136098, 0, 4, Enterprise
131429, 0, 85, Enterprise
134356, 0, 1, Enterprise
56245, 0, 6, Enterprise
132447, 0, 7, Enterprise
9532, 0, 18, Enterprise
134426, 0, 10, Enterprise
132590, 0, 8, Enterprise
63535, 0, 2, Enterprise
134375, 0, 49, Enterprise
56150, 0, 16, Enterprise
134382, 0, 15, Enterprise
132251, 0, 11, Enterprise
135920, 0, 5, Enterprise
132850, 0, 3, Enterprise
134550, 0, 10, Enterprise
58912, 0, 9, Enterprise
21650, 0, 23, Enterprise
135084, 0, 1, Enterprise
131410, 0, 2, Enterprise
133668, 0, 5, Enterprise
55705, 0, 8, Enterprise
135846, 0, 2, Enterprise
9312, 0, 5, Enterprise
132325, 0, 25, Enterprise
64047, 0, 8, Enterprise
134441, 0, 1, Enterprise
45469, 0, 14, Enterprise
63526, 0, 16, Enterprise
58630, 0, 8, Enterprise
133880, 0, 8, Enterprise
136557, 0, 30, Enterprise
134544, 0, 2, Enterprise
132540, 0, 11, Enterprise
132647, 0, 6, Enterprise
17617, 0, 5, Enterprise
135478, 0, 169, Enterprise
134553, 0, 7, Enterprise
38247, 0, 15, Enterprise
132644, 0, 4, Enterprise
56241, 0, 28, Enterprise
134014, 0, 16, Enterprise
132986, 0, 5, Enterprise
134674, 0, 8, Enterprise
45766, 0, 21, Enterprise
134937, 0, 12, Enterprise
40138, 0, 9, Enterprise
56094, 0, 8, Enterprise
55478, 0, 9, Enterprise
134687, 0, 3, Enterprise
17771, 0, 65, Enterprise
133272, 0, 10, Enterprise
59163, 0, 2, Enterprise
133771, 0, 14, Enterprise
133201, 0, 18, Enterprise
327999, 0, 2, Enterprise
328134, 0, 1, Enterprise
328115, 0, 1, Enterprise
328112, 0, 8, Enterprise
327738, 0, 6, Enterprise
328118, 0, 1, Enterprise
327892, 0, 8, Enterprise
328117, 0, 1, Enterprise
328114, 0, 1, Enterprise
328106, 0, 1, Enterprise
327813, 0, 35, Enterprise
328095, 0, 2, Enterprise
328097, 0, 1, Enterprise
37658, 0, 10, Enterprise
327943, 0, 4, Enterprise
37652, 0, 15, Enterprise
328101, 0, 8, Enterprise
328092, 0, 1, Enterprise
327849, 0, 9, Enterprise
328039, 0, 1, Enterprise
328076, 0, 1, Enterprise
37640, 0, 2, Enterprise
328035, 0, 2, Enterprise
328041, 0, 1, Enterprise
327886, 0, 1, Enterprise
267652, 0, 2, Enterprise
267636, 0, 3, Enterprise
267641, 0, 1, Enterprise
267647, 0, 1, Enterprise
267668, 0, 1, Enterprise
267649, 0, 7, Enterprise
267650, 0, 5, Enterprise
27919, 0, 4, Enterprise
266911, 0, 1, Enterprise
266922, 0, 4, Enterprise
27792, 0, 42, Enterprise
267661, 0, 5, Enterprise
266918, 0, 1, Enterprise
267660, 0, 4, Enterprise
267670, 0, 2, Enterprise
267669, 0, 3, Enterprise
267673, 0, 1, Enterprise
267674, 0, 1, Enterprise
265849, 0, 1, Enterprise
266914, 0, 1, Enterprise
267675, 0, 5, Enterprise
267676, 0, 1, Enterprise
266925, 0, 1, Enterprise
262529, 0, 1, Enterprise
265850, 0, 1, Enterprise
262873, 0, 3, Enterprise
266915, 0, 4, Enterprise
266921, 0, 7, Enterprise
266943, 0, 1, Enterprise
266934, 0, 7, Enterprise
266936, 0, 1, Enterprise
266937, 0, 1, Enterprise
266938, 0, 3, Enterprise
266959, 0, 5, Enterprise
266964, 0, 3, Enterprise
266952, 0, 3, Enterprise
266958, 0, 7, Enterprise
266965, 0, 1, Enterprise
266961, 0, 1, Enterprise
265844, 0, 1, Enterprise
266970, 0, 5, Enterprise
135257, 0, 11, Enterprise
132772, 0, 6, Enterprise
134697, 0, 7, Enterprise
134035, 0, 5, Enterprise
134732, 0, 26, Enterprise
38555, 0, 5, Enterprise
133661, 0, 81, Enterprise
135186, 0, 10, Enterprise
135259, 0, 2, Enterprise
135188, 0, 2, Enterprise
132952, 0, 6, Enterprise
135544, 0, 51, Enterprise
135411, 0, 2, Enterprise
134291, 0, 24, Enterprise
45976, 0, 2, Enterprise
2021, 0, 30, Enterprise
134543, 0, 35, Enterprise
63655, 0, 10, Enterprise
131265, 0, 8, Enterprise
55664, 0, 14, Enterprise
135189, 0, 8, Enterprise
135260, 0, 5, Enterprise
135125, 0, 8, Enterprise
24669, 0, 18, Enterprise
135036, 0, 6, Enterprise
62660, 0, 23, Enterprise
45715, 0, 4, Enterprise
135427, 0, 3, Enterprise
135193, 0, 32, Enterprise
135434, 0, 8, Enterprise
135433, 0, 5, Enterprise
135795, 0, 10, Enterprise
135437, 0, 14, Enterprise
135491, 0, 2, Enterprise
135247, 0, 8, Enterprise
134325, 0, 19, Enterprise
63182, 0, 13, Enterprise
131711, 0, 5, Enterprise
135776, 0, 12, Enterprise
136498, 0, 10, Enterprise
135517, 0, 7, Enterprise
132137, 0, 30, Enterprise
135235, 0, 2, Enterprise
63747, 0, 16, Enterprise
63760, 0, 1, Enterprise
132268, 0, 4, Enterprise
134743, 0, 3, Enterprise
135530, 0, 1, Enterprise
135529, 0, 8, Enterprise
3266, 0, 69, Enterprise
206440, 0, 15, Enterprise
202984, 0, 12, Enterprise
206501, 0, 1, Enterprise
206794, 0, 1, Enterprise
44578, 0, 1, Enterprise
57803, 0, 12, Enterprise
47966, 0, 1, Enterprise
61075, 0, 1, Enterprise
61058, 0, 1, Enterprise
61019, 0, 2, Enterprise
61009, 0, 1, Enterprise
60873, 0, 2, Enterprise
60894, 0, 1, Enterprise
60999, 0, 2, Enterprise
59502, 0, 2, Enterprise
60947, 0, 1, Enterprise
203141, 0, 1, Enterprise
203173, 0, 1, Enterprise
60986, 0, 4, Enterprise
60931, 0, 5, Enterprise
60919, 0, 1, Enterprise
60985, 0, 2, Enterprise
56669, 0, 1, Enterprise
196768, 0, 6, Enterprise
61228, 0, 10, Enterprise
3217, 0, 3, Enterprise
51501, 0, 2, Enterprise
41634, 0, 1, Enterprise
203527, 0, 2, Enterprise
197163, 0, 3, Enterprise
48361, 0, 40, Enterprise
204199, 0, 2, Enterprise
203493, 0, 3, Enterprise
203481, 0, 2, Enterprise
206134, 0, 1, Enterprise
60457, 0, 1, Enterprise
201384, 0, 2, Enterprise
47410, 0, 2, Enterprise
60560, 0, 4, Enterprise
199870, 0, 1, Enterprise
8818, 0, 10, Enterprise
45005, 0, 2, Enterprise
197369, 0, 1, Enterprise
21119, 0, 3, Enterprise
197712, 0, 5, Enterprise
51572, 0, 1, Enterprise
52030, 0, 10, Enterprise
51504, 0, 4, Enterprise
44430, 0, 2, Enterprise
51878, 0, 3, Enterprise
47337, 0, 2, Enterprise
43584, 0, 10, Enterprise
59746, 0, 1, Enterprise
202864, 0, 1, Enterprise
200567, 0, 12, Enterprise
44136, 0, 4, Enterprise
198847, 0, 7, Enterprise
51682, 0, 12, Enterprise
20741, 0, 2, Enterprise
51910, 0, 7, Enterprise
51675, 0, 1, Enterprise
197324, 0, 2, Enterprise
41902, 0, 5, Enterprise
206751, 0, 1, Enterprise
39609, 0, 2, Enterprise
49675, 0, 9, Enterprise
60198, 0, 2, Enterprise
201260, 0, 2, Enterprise
25071, 0, 31, Enterprise
203148, 0, 5, Enterprise
201748, 0, 10, Enterprise
15689, 0, 1, Enterprise
34156, 0, 2, Enterprise
39280, 0, 26, Enterprise
51754, 0, 7, Enterprise
197989, 0, 4, Enterprise
197370, 0, 4, Enterprise
60220, 0, 10, Enterprise
51785, 0, 3, Enterprise
57948, 0, 8, Enterprise
49082, 0, 9, Enterprise
51806, 0, 1, Enterprise
197381, 0, 8, Enterprise
16116, 0, 33, Enterprise
6753, 0, 10, Enterprise
197407, 0, 4, Enterprise
197584, 0, 1, Enterprise
25004, 0, 2, Enterprise
51865, 0, 2, Enterprise
13035, 0, 4, Enterprise
197664, 0, 6, Enterprise
28785, 0, 7, Enterprise
62393, 0, 5, Enterprise
34458, 0, 22, Enterprise
197352, 0, 4, Enterprise
203639, 0, 1, Enterprise
197785, 0, 1, Enterprise
34518, 0, 18, Enterprise
42062, 0, 5, Enterprise
35184, 0, 12, Enterprise
60463, 0, 2, Enterprise
197401, 0, 2, Enterprise
197430, 0, 2, Enterprise
51908, 0, 12, Enterprise
61242, 0, 2, Enterprise
60816, 0, 1, Enterprise
61203, 0, 2, Enterprise
34702, 0, 2, Enterprise
197441, 0, 1, Enterprise
197296, 0, 2, Enterprise
51968, 0, 1, Enterprise
52056, 0, 1, Enterprise
207194, 0, 1, Enterprise
197465, 0, 1, Enterprise
206833, 0, 3, Enterprise
207185, 0, 4, Enterprise
206830, 0, 2, Enterprise
51309, 0, 5, Enterprise
51300, 0, 5, Enterprise
197208, 0, 4, Enterprise
39586, 0, 3, Enterprise
197403, 0, 1, Enterprise
199312, 0, 15, Enterprise
51326, 0, 4, Enterprise
24672, 0, 13, Enterprise
48923, 0, 1, Enterprise
197988, 0, 2, Enterprise
51773, 0, 2, Enterprise
41885, 0, 2, Enterprise
202048, 0, 1, Enterprise
49318, 0, 9, Enterprise
197226, 0, 17, Enterprise
31668, 0, 1, Enterprise
51718, 0, 5, Enterprise
51378, 0, 1, Enterprise
197247, 0, 1, Enterprise
35245, 0, 8, Enterprise
51438, 0, 4, Enterprise
8730, 0, 1, Enterprise
51437, 0, 12, Enterprise
44300, 0, 9, Enterprise
34804, 0, 2, Enterprise
57667, 0, 13, Enterprise
44585, 0, 14, Enterprise
52088, 0, 4, Enterprise
5567, 0, 8, Enterprise
60925, 0, 1, Enterprise
28905, 0, 2, Enterprise
41431, 0, 3, Enterprise
43503, 0, 4, Enterprise
197277, 0, 3, Enterprise
56637, 0, 3, Enterprise
197240, 0, 4, Enterprise
51978, 0, 6, Enterprise
47527, 0, 5, Enterprise
198957, 0, 2, Enterprise
48953, 0, 29, Enterprise
51489, 0, 4, Enterprise
196708, 0, 25, Enterprise
51539, 0, 3, Enterprise
33883, 0, 3, Enterprise
51499, 0, 1, Enterprise
51764, 0, 26, Enterprise
41942, 0, 7, Enterprise
43088, 0, 2, Enterprise
196628, 0, 12, Enterprise
196987, 0, 1, Enterprise
51825, 0, 23, Enterprise
51625, 0, 7, Enterprise
197290, 0, 1, Enterprise
51989, 0, 2, Enterprise
51540, 0, 44, Enterprise
51532, 0, 1, Enterprise
50758, 0, 1, Enterprise
50181, 0, 5, Enterprise
39884, 0, 3, Enterprise
197293, 0, 18, Enterprise
197223, 0, 36, Enterprise
31593, 0, 4, Enterprise
44668, 0, 8, Enterprise
35588, 0, 7, Enterprise
48082, 0, 3, Enterprise
50583, 0, 36, Enterprise
197100, 0, 1, Enterprise
48608, 0, 7, Enterprise
15599, 0, 4, Enterprise
9003, 0, 11, Enterprise
199226, 0, 2, Enterprise
47771, 0, 24, Enterprise
44247, 0, 8, Enterprise
58079, 0, 21, Enterprise
8967, 0, 6, Enterprise
51731, 0, 1, Enterprise
43627, 0, 13, Enterprise
51759, 0, 23, Enterprise
201508, 0, 6, Enterprise
207199, 0, 5, Enterprise
52037, 0, 12, Enterprise
31175, 0, 6, Enterprise
48434, 0, 21, Enterprise
52015, 0, 19, Enterprise
15582, 0, 11, Enterprise
39477, 0, 6, Enterprise
44347, 0, 3, Enterprise
51515, 0, 30, Enterprise
48045, 0, 2, Enterprise
29470, 0, 1, Enterprise
201294, 0, 3, Enterprise
25185, 0, 2, Enterprise
56341, 0, 4, Enterprise
51615, 0, 3, Enterprise
51582, 0, 2, Enterprise
34841, 0, 8, Enterprise
51704, 0, 2, Enterprise
205576, 0, 1, Enterprise
51784, 0, 22, Enterprise
39169, 0, 3, Enterprise
40975, 0, 17, Enterprise
48881, 0, 13, Enterprise
50064, 0, 9, Enterprise
56885, 0, 2, Enterprise
44184, 0, 1, Enterprise
60454, 0, 2, Enterprise
60654, 0, 1, Enterprise
59398, 0, 4, Enterprise
12325, 0, 10, Enterprise
52044, 0, 2, Enterprise
39855, 0, 30, Enterprise
50887, 0, 6, Enterprise
39474, 0, 3, Enterprise
201665, 0, 10, Enterprise
49302, 0, 4, Enterprise
51239, 0, 1, Enterprise
62211, 0, 2, Enterprise
15545, 0, 10, Enterprise
58098, 0, 9, Enterprise
60097, 0, 1, Enterprise
21395, 0, 4, Enterprise
60054, 0, 4, Enterprise
57936, 0, 3, Enterprise
61248, 0, 2, Enterprise
61962, 0, 2, Enterprise
50070, 0, 1, Enterprise
52210, 0, 1, Enterprise
34590, 0, 35, Enterprise
51788, 0, 1, Enterprise
51812, 0, 6, Enterprise
200414, 0, 7, Enterprise
48659, 0, 3, Enterprise
204161, 0, 4, Enterprise
197443, 0, 1, Enterprise
197070, 0, 2, Enterprise
51969, 0, 2, Enterprise
51993, 0, 13, Enterprise
52092, 0, 2, Enterprise
42740, 0, 5, Enterprise
52195, 0, 4, Enterprise
52175, 0, 7, Enterprise
56328, 0, 1, Enterprise
44728, 0, 6, Enterprise
13106, 0, 2, Enterprise
51891, 0, 1, Enterprise
197406, 0, 3, Enterprise
51836, 0, 1, Enterprise
49608, 0, 3, Enterprise
203464, 0, 9, Enterprise
34047, 0, 2, Enterprise
51653, 0, 10, Enterprise
58219, 0, 2, Enterprise
200184, 0, 1, Enterprise
51943, 0, 1, Enterprise
50802, 0, 6, Enterprise
197418, 0, 2, Enterprise
25337, 0, 3, Enterprise
197437, 0, 2, Enterprise
52079, 0, 1, Enterprise
51975, 0, 7, Enterprise
50215, 0, 5, Enterprise
52009, 0, 1, Enterprise
50437, 0, 7, Enterprise
197470, 0, 3, Enterprise
52043, 0, 5, Enterprise
48117, 0, 3, Enterprise
33993, 0, 6, Enterprise
59504, 0, 23, Enterprise
24881, 0, 30, Enterprise
51935, 0, 3, Enterprise
21075, 0, 5, Enterprise
41272, 0, 3, Enterprise
44417, 0, 4, Enterprise
203536, 0, 2, Enterprise
203980, 0, 9, Enterprise
205753, 0, 1, Enterprise
203088, 0, 3, Enterprise
196791, 0, 2, Enterprise
48330, 0, 44, Enterprise
6752, 0, 45, Enterprise
43235, 0, 4, Enterprise
44318, 0, 6, Enterprise
34743, 0, 18, Enterprise
52194, 0, 3, Enterprise
197550, 0, 1, Enterprise
56364, 0, 12, Enterprise
39857, 0, 2, Enterprise
52101, 0, 2, Enterprise
200524, 0, 5, Enterprise
52029, 0, 1, Enterprise
52058, 0, 2, Enterprise
52103, 0, 5, Enterprise
52064, 0, 2, Enterprise
31028, 0, 5, Enterprise
52105, 0, 1, Enterprise
196808, 0, 2, Enterprise
47388, 0, 3, Enterprise
52154, 0, 8, Enterprise
39742, 0, 2, Enterprise
198430, 0, 24, Enterprise
50159, 0, 1, Enterprise
48224, 0, 4, Enterprise
35562, 0, 4, Enterprise
56326, 0, 2, Enterprise
56356, 0, 2, Enterprise
199178, 0, 1, Enterprise
196734, 0, 4, Enterprise
59644, 0, 1, Enterprise
197460, 0, 19, Enterprise
15880, 0, 12, Enterprise
203067, 0, 6, Enterprise
56347, 0, 4, Enterprise
197565, 0, 1, Enterprise
197345, 0, 2, Enterprise
56412, 0, 1, Enterprise
51351, 0, 8, Enterprise
56404, 0, 7, Enterprise
50590, 0, 4, Enterprise
49114, 0, 2, Enterprise
196739, 0, 3, Enterprise
56386, 0, 6, Enterprise
203149, 0, 1, Enterprise
1197, 0, 2, Enterprise
45050, 0, 2, Enterprise
39480, 0, 3, Enterprise
15451, 0, 5, Enterprise
49283, 0, 4, Enterprise
48861, 0, 8, Enterprise
43571, 0, 5, Enterprise
51940, 0, 1, Enterprise
51922, 0, 1, Enterprise
200744, 0, 2, Enterprise
51933, 0, 1, Enterprise
197442, 0, 1, Enterprise
51941, 0, 4, Enterprise
49635, 0, 9, Enterprise
202752, 0, 1, Enterprise
197475, 0, 1, Enterprise
51996, 0, 1, Enterprise
35156, 0, 5, Enterprise
8334, 0, 6, Enterprise
57128, 0, 10, Enterprise
65144, 0, 1, Enterprise
60320, 0, 3, Enterprise
52176, 0, 1, Enterprise
65125, 0, 2, Enterprise
39155, 0, 25, Enterprise
34703, 0, 7, Enterprise
38927, 0, 6, Enterprise
50575, 0, 2, Enterprise
56588, 0, 1, Enterprise
201942, 0, 103, Enterprise
16230, 0, 4, Enterprise
52200, 0, 1, Enterprise
56320, 0, 2, Enterprise
52214, 0, 1, Enterprise
22001, 0, 7, Enterprise
203750, 0, 1, Enterprise
44187, 0, 3, Enterprise
34315, 0, 3, Enterprise
56324, 0, 3, Enterprise
60788, 0, 9, Enterprise
44180, 0, 3, Enterprise
39231, 0, 1, Enterprise
199604, 0, 1, Enterprise
205724, 0, 1, Enterprise
56349, 0, 1, Enterprise
201600, 0, 5, Enterprise
15969, 0, 7, Enterprise
57188, 0, 3, Enterprise
34010, 0, 19, Enterprise
24665, 0, 7, Enterprise
16273, 0, 6, Enterprise
201056, 0, 3, Enterprise
51082, 0, 3, Enterprise
