AS, node_degree, IP_prefix_count, class
2603, 712, 12, Transit
2606, 1, 4, unclassified
2607, 39, 14, Transit
2609, 1, 15, Transit
2611, 506, 33, Transit
2613, 10, 1, Content
2614, 25, 58, Transit
2635, 542, 94, Content
2640, 1, 1, unclassified
2647, 30, 2, Transit
2665, 4, 105, Transit
2675, 1, 8, Transit
2681, 1, 0, Transit
2682, 2, 0, Transit
2683, 15, 17, Transit
2685, 13, 86, Transit
2686, 130, 118, Transit
2687, 82, 84, Transit
2688, 31, 36, Transit
2697, 1, 166, unclassified
2698, 1, 8, Transit
2706, 12, 157, Content
2707, 3, 6, Transit
2711, 61, 173, Transit
2715, 4, 58, Transit
2716, 9, 30, Transit
2721, 4, 2, Transit
2722, 4, 9, Transit
2730, 2, 7, Transit
2734, 27, 26, Transit
2764, 228, 370, Transit
2818, 66, 4, Transit
2819, 1, 0, unclassified
2821, 1, 1, unclassified
2828, 1050, 227, Transit
2830, 4, 115, Transit
2839, 2, 5, Transit
2847, 5, 12, Transit
2848, 1, 3, Transit
2852, 119, 22, Transit
2854, 237, 28, Transit
2856, 212, 210, Transit
2857, 32, 9, Transit
2860, 32, 125, Transit
2861, 1, 3, Transit
2874, 14, 0, Transit
2882, 1, 0, Transit
2895, 474, 3, Transit
2899, 2, 0, Transit
2900, 1, 11, Transit
2905, 60, 94, Content
2906, 811, 100, Transit
2907, 102, 572, Transit
2912, 1, 20, unclassified
2914, 1649, 465, Transit
2939, 1, 8, Transit
3043, 2, 6, Transit
3058, 13, 5, Transit
3064, 3, 48, Transit
3067, 5, 79, Content
3081, 1, 13, Transit
3112, 37, 29, Transit
3128, 7, 12, Transit
3130, 15, 3, Transit
3132, 2, 31, Transit
3164, 4, 15, Transit
3165, 2, 2, Content
3169, 256, 4, Transit
3177, 1, 6, unclassified
3185, 2, 3, Content
3194, 3, 7, Transit
3202, 10, 2, Transit
3208, 1, 14, Transit
3209, 143, 193, Transit
3210, 1, 5, Transit
3212, 50, 22, Transit
3213, 474, 7, Transit
3215, 158, 696, Transit
3216, 795, 858, Transit
3218, 10, 6, Transit
3221, 3, 1, Transit
3223, 186, 159, Transit
3225, 70, 119, Transit
3226, 6, 8, Transit
3229, 1, 1, Transit
3233, 1, 6, unclassified
3238, 18, 9, Transit
3239, 4, 0, Transit
3243, 8, 13, Transit
3244, 2, 3, Content
3245, 10, 5, Transit
3246, 8, 42, Transit
3249, 41, 26, Transit
3250, 12, 1, Content
3252, 1349, 2, Transit
3253, 9, 14, Transit
3254, 7, 4, Transit
3255, 480, 241, Transit
3257, 1566, 639, Transit
3261, 65, 41, Transit
3262, 66, 6, Transit
3265, 43, 27, Transit
3267, 1021, 20, Transit
3268, 1, 4, Transit
3269, 181, 412, Transit
3277, 1, 2, unclassified
3280, 1, 3, Transit
3291, 1, 0, Transit
3292, 231, 399, Transit
3300, 28, 72, Transit
3301, 81, 370, Transit
3302, 53, 24, Transit
3303, 427, 483, Transit
3307, 10, 1, Transit
3308, 22, 43, Transit
3312, 2, 1, Transit
3313, 10, 50, Transit
3316, 20, 48, Transit
3320, 560, 509, Transit
3324, 5, 13, Transit
3326, 134, 26, Transit
3327, 371, 41, Transit
3329, 24, 114, Transit
3330, 17, 12, Transit
3331, 2, 1, Content
3333, 316, 7, Transit
3342, 2, 2, Content
3344, 1, 5, Transit
3347, 2, 3, Content
3352, 135, 251, Transit
3356, 4892, 1571, Transit
3361, 19, 80, Transit
3367, 15, 7, Transit
3371, 5, 18, Transit
3372, 3, 90, Transit
3378, 3, 55, Transit
3385, 8, 2, Transit
3397, 1, 7, Transit
3421, 9, 2, Transit
3422, 1, 1, Transit
3423, 1, 9, unclassified
3450, 3, 16, Content
3454, 1, 9, unclassified
3462, 41, 319, Transit
3464, 4, 54, Transit
3471, 1, 10, unclassified
3472, 1, 8, unclassified
3473, 1, 20, unclassified
3474, 1, 27, unclassified
3477, 5, 15, Transit
3479, 6, 26, Transit
3480, 6, 3, Transit
3491, 602, 360, Transit
3512, 9, 4, Content
