size rank table
1, 174, name, 5366, 50818, 628479, 2937784809.0, 0.8526796201214806, 0.8641511716961441, 0.7444060398066552
2, 3356, name, 4892, 50620, 630558, 2981136111.0, 0.8493573609852679, 0.8670097720407162, 0.7553908372443093
3, 1299, name, 1608, 48814, 625170, 2971649329.0, 0.8190543306822377, 0.8596013359384775, 0.7529869791409198
4, 21320, name, 59, 44556, 574511, 2683960148.0, 0.7476089801671197, 0.789945811717374, 0.6800893444103734
5, 20965, name, 102, 44555, 574510, 2683958100.0, 0.7475922010805732, 0.7899444367292332, 0.6800888254671327
6, 2914, name, 1649, 43068, 571169, 2597109129.0, 0.7226416993858854, 0.7853506013510634, 0.6580821426204746
7, 6453, name, 719, 42132, 576812, 2732957168.0, 0.7069364743783348, 0.7931096594291874, 0.6925047117677064
8, 3257, name, 1566, 42120, 564206, 2430293631.0, 0.7067351253397764, 0.7757765589271792, 0.6158127211624664
9, 5511, name, 163, 40868, 551463, 2526748796.0, 0.685727708983523, 0.7582550850498915, 0.6402535199495594
10, 3491, name, 602, 39810, 545847, 2477218365.0, 0.6679754354172959, 0.750533151651567, 0.6277029914432944
11, 6939, name, 6512, 39196, 538341, 2426787427.0, 0.6576730762777274, 0.740212490667268, 0.614924283239308
12, 209, name, 1892, 37858, 513947, 2248988254.0, 0.6352226584784725, 0.7066710299623665, 0.569871705579993
13, 2603, name, 712, 37846, 499934, 2144365484.0, 0.6350213094399141, 0.6874033211463552, 0.5433613152849962
14, 701, name, 1234, 37786, 518503, 2451185565.0, 0.6340145642471224, 0.7129354759315201, 0.6211065336313707
15, 6762, name, 412, 36560, 503843, 2154181457.0, 0.6134434041410786, 0.6927781497884581, 0.5458485871795862

ip_percent rank table
1, 3356, name, 4892, 50620, 630558, 2981136111.0, 0.8493573609852679, 0.8670097720407162, 0.7553908372443093
2, 1299, name, 1608, 48814, 625170, 2971649329.0, 0.8190543306822377, 0.8596013359384775, 0.7529869791409198
3, 174, name, 5366, 50818, 628479, 2937784809.0, 0.8526796201214806, 0.8641511716961441, 0.7444060398066552
4, 6453, name, 719, 42132, 576812, 2732957168.0, 0.7069364743783348, 0.7931096594291874, 0.6925047117677064
5, 21320, name, 59, 44556, 574511, 2683960148.0, 0.7476089801671197, 0.789945811717374, 0.6800893444103734
6, 20965, name, 102, 44555, 574510, 2683958100.0, 0.7475922010805732, 0.7899444367292332, 0.6800888254671327
7, 2914, name, 1649, 43068, 571169, 2597109129.0, 0.7226416993858854, 0.7853506013510634, 0.6580821426204746
8, 5511, name, 163, 40868, 551463, 2526748796.0, 0.685727708983523, 0.7582550850498915, 0.6402535199495594
9, 3491, name, 602, 39810, 545847, 2477218365.0, 0.6679754354172959, 0.750533151651567, 0.6277029914432944
10, 701, name, 1234, 37786, 518503, 2451185565.0, 0.6340145642471224, 0.7129354759315201, 0.6211065336313707
11, 3257, name, 1566, 42120, 564206, 2430293631.0, 0.7067351253397764, 0.7757765589271792, 0.6158127211624664
12, 6939, name, 6512, 39196, 538341, 2426787427.0, 0.6576730762777274, 0.740212490667268, 0.614924283239308
13, 1239, name, 451, 35984, 517197, 2381796764.0, 0.6037786502902782, 0.7111397414197302, 0.6035240877009881
14, 209, name, 1892, 37858, 513947, 2248988254.0, 0.6352226584784725, 0.7066710299623665, 0.569871705579993
15, 4766, name, 524, 34808, 490139, 2233018066.0, 0.5840464445115607, 0.6739353123079314, 0.5658250155815875
